"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","no-page-locator-in-components flags locator and goto @unit","","2026-06-10","passed","2026-06-10","","unit/eslintRules.spec.ts","",""
"","15","fixture server supports swapping routes at runtime @unit","","2026-06-10","passed","2026-06-10","","unit/fixtureServer.spec.ts","",""
"","2","currentMode defaults to hard outside softGroup @unit","","2026-06-10","passed","2026-06-10","","unit/softGroup.spec.ts","",""
"","5","xComponent binds field names after construction and names nested roots @unit","","2026-06-10","passed","2026-06-10","","unit/xComponent.spec.ts","",""
"","5","wrapLocator logs click actions with bound metadata @unit","","2026-06-10","passed","2026-06-10","","unit/xLocator.spec.ts","",""
"","8","no-goto-outside-page-objects flags page.goto and this.page.goto @unit","","2026-06-10","passed","2026-06-10","","unit/eslintRules.spec.ts","",""
"","46","fixture server serves registered routes on an ephemeral port @unit","","2026-06-10","passed","2026-06-10","","unit/fixtureServer.spec.ts","",""
"","5","softGroup pushes soft mode inside its body and restores after @unit","","2026-06-10","passed","2026-06-10","","unit/softGroup.spec.ts","",""
"","8","wrapLocator re-wraps chained locators and keeps lineage metadata @unit","","2026-06-10","passed","2026-06-10","","unit/xLocator.spec.ts","",""
"","62","no-raw-locator-in-tests flags page.locator/getByRole on Page identifiers @unit","","2026-06-10","passed","2026-06-10","","unit/eslintRules.spec.ts","",""
"","3","playwright config keeps trace, screenshot, and video configured for failure triage @unit","","2026-06-10","passed","2026-06-10","","unit/reportingConfig.spec.ts","",""
"","15","page-must-implement-is-opened flags classes that extend xPage without isOpened @unit","","2026-06-10","passed","2026-06-10","","unit/eslintRules.spec.ts","",""
"","3","nested mode pushes expose the innermost value @unit","","2026-06-10","passed","2026-06-10","","unit/softGroup.spec.ts","",""
"","7","xPage navigates with base url and exposes wrapped page locators @unit","","2026-06-10","passed","2026-06-10","","unit/xPage.spec.ts","",""
"","5","softGroup restores mode if the body throws @unit","","2026-06-10","passed","2026-06-10","","unit/softGroup.spec.ts","",""
"","2","playwright config wires both allure-playwright and the HTML reporter @unit","","2026-06-10","passed","2026-06-10","","unit/reportingConfig.spec.ts","",""
